Block,Fat,Flour,Flavor
A,Butter,Normal,7.93
A,Butter,Wholemeal,7.5
A,Margarine,Normal,8
A,Margarine,Wholemeal,7.16
A,Butter,Normal,8.16
A,Butter,Wholemeal,7.46
A,Margarine,Normal,7.76
A,Margarine,Wholemeal,7.13
A,Butter,Normal,8
A,Butter,Wholemeal,7
A,Margarine,Normal,7.86
A,Margarine,Wholemeal,6.93
A,Butter,Normal,7.86
A,Butter,Wholemeal,7.46
A,Margarine,Normal,7.86
A,Margarine,Wholemeal,7.33
A,Butter,Normal,7.76
A,Butter,Wholemeal,7.43
A,Margarine,Normal,8
A,Margarine,Wholemeal,7.5
A,Butter,Normal,8.25
A,Butter,Wholemeal,7.3
A,Margarine,Normal,7.93
A,Margarine,Wholemeal,7.5
B,Butter,Normal,9.5
B,Butter,Wholemeal,7
B,Margarine,Normal,10
B,Margarine,Wholemeal,9.5
B,Butter,Normal,7
B,Butter,Wholemeal,8.5
B,Margarine,Normal,9
B,Margarine,Wholemeal,6
B,Butter,Normal,8
B,Butter,Wholemeal,7
B,Margarine,Normal,8
B,Margarine,Wholemeal,7
B,Butter,Normal,8
B,Butter,Wholemeal,6
B,Margarine,Normal,9.5
B,Margarine,Wholemeal,8.5
B,Butter,Normal,9
B,Butter,Wholemeal,5
B,Margarine,Normal,8
B,Margarine,Wholemeal,7
B,Butter,Normal,6
B,Butter,Wholemeal,5
B,Margarine,Normal,8
B,Margarine,Wholemeal,8
